date,ticker,market_cap
2024-08-19,AAPL,3317726846840
2024-08-19,ADI,110057316462
2024-08-19,AMAT,167477711460
2024-08-19,AMD,253199568000
2024-08-19,AMGN,177008032760
2024-08-19,AMZN,1917130362000
2024-08-19,ASML,359652798302
2024-08-19,AVGO,797893741800
2024-08-19,COST,386868905650
2024-08-19,CSCO,196992904507
2024-08-19,GILD,92434877119
2024-08-19,GOOG,2040216937632
2024-08-19,GOOGL,2015852031734
2024-08-19,INTC,108159520000
2024-08-19,KLAC,107180274000
2024-08-19,LRCX,110212734100
2024-08-19,META,1343536642411
2024-08-19,MSFT,3131306097900
2024-08-19,MU,122685635700
2024-08-19,NFLX,289913580000
2024-08-19,NVDA,3148730000000
2024-08-19,PANW,117001863933
2024-08-19,PEP,237438120000
2024-08-19,QCOM,183670040000
2024-08-19,STX,23310846840
2024-08-19,TMUS,213822007787
2024-08-19,TSLA,836473958400
2024-08-19,TXN,182619261380
2024-08-20,AAPL,3326833007560
2024-08-20,ADI,108859082346
2024-08-20,AMAT,163682587440
2024-08-20,AMD,255025840000
2024-08-20,AMGN,177321063400
2024-08-20,AMZN,1924230048000
2024-08-20,ASML,356966434904
2024-08-20,AVGO,789520401000
2024-08-20,COST,388576299800
2024-08-20,CSCO,198017677519
2024-08-20,GILD,92807348082
2024-08-20,GOOG,2047001507021
2024-08-20,GOOGL,2022020415584
2024-08-20,INTC,105495740000
2024-08-20,KLAC,106017684800
2024-08-20,LRCX,107911685300
2024-08-20,META,1337063663197
2024-08-20,MSFT,3155597064000
2024-08-20,MU,121962826100
2024-08-20,NFLX,294124380000
2024-08-20,NVDA,3082122250000
2024-08-20,PANW,125404898545
2024-08-20,PEP,240211100000
2024-08-20,QCOM,181403940000
2024-08-20,STX,23218912950
2024-08-20,TMUS,212350209374
2024-08-20,TSLA,830389692000
2024-08-20,TXN,184330236220
2024-08-21,AAPL,3325217398400
2024-08-21,ADI,110812301372
2024-08-21,AMAT,166032706080
2024-08-21,AMD,257324986000
2024-08-21,AMGN,177644888200
2024-08-21,AMZN,1937461281000
2024-08-21,ASML,363684270488
2024-08-21,AVGO,788711612400
2024-08-21,COST,390891260180
2024-08-21,CSCO,198845378799
2024-08-21,GILD,93279144634
2024-08-21,GOOG,2030888154722
2024-08-21,GOOGL,2005934238094
2024-08-21,INTC,107606660000
2024-08-21,KLAC,108042418800
2024-08-21,LRCX,109212278100
2024-08-21,META,1358462570950
2024-08-21,MSFT,3150694300200
2024-08-21,MU,122346818700
2024-08-21,NFLX,293534868000
2024-08-21,NVDA,3112398500000
2024-08-21,PANW,122590256781
2024-08-21,PEP,239336860000
2024-08-21,QCOM,183627880000
2024-08-21,STX,23418476760
2024-08-21,TMUS,211527733789
2024-08-21,TSLA,838539604400
2024-08-21,TXN,189636078410
2024-08-22,AAPL,3297752042680
2024-08-22,ADI,108089484824
2024-08-22,AMAT,158950591800
2024-08-22,AMD,247362020000
2024-08-22,AMGN,175151437240
2024-08-22,AMZN,1894648023000
2024-08-22,ASML,349847764611
2024-08-22,AVGO,772345537200
2024-08-22,COST,389179431240
2024-08-22,CSCO,197938848826
2024-08-22,GILD,94235153437
2024-08-22,GOOG,2004961407415
